"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
1031,0000334206,-,-
1032,0000108348,-,-
1033,0000107829,-,-
1034,0000108472,-,-
1035,0000100692,-,-
1036,0000107655,-,-
1037,0000109072,-,-
1038,0000162093,-,-
1039,0000109246,-,-
1040,0000211195,825,-
1041,0000107682,-,-
1042,0000103535,-,-
1043,0000103525,-,-
1044,0000256061,-,-
1045,0000154415,-,-
1046,0000107792,-,-
1047,0000108661,-,-
1048,0000107317,-,-
1049,0000108106,-,-
1050,0000289608,200,-
1051,0000100712,2500,-
1052,0000281642,-,-
1053,0000107971,-,-
1054,0000103553,-,-
1055,0000154805,-,-
1056,0000103531,-,-
1057,0000107338,-,-
1058,0000259145,-,-
1059,0000108840,-,-
1060,0000100621,-,-
1061,0000115404,-,-
1062,0000357885,-,-
1063,0000100588,-,-
1064,0000108383,1150,-
1065,0000282897,200,-
1066,0000333022,-,-
1067,0000333373,-,-
1068,0000107486,-,-
1069,0000100633,-,-
1070,0000107341,-,-
1071,0000100693,6750,-
1072,0000107918,-,-
1073,0000174829,-,-
1074,0000157568,-,-
1075,0000107532,-,-
1076,0000359310,-,-
1077,0000161290,-,-
1078,0000107230,200,-
1079,0000164030,-,-
1080,0000107815,-,-
1081,0000287899,-,-
1082,0000165125,-,-
1083,0000103513,-,-
1084,0000108347,-,-
1085,0000107687,-,-
1086,0000222819,-,-
1087,0000344981,-,-
1088,0000115955,-,-
1089,0000107558,100,-
1090,0000100557,2500,-
1091,0000109190,-,-
1092,0000108108,-,-
1093,0000103533,-,-
1094,0000266070,-,-
1095,0000212395,-,-
1096,0000452515,1150,-
1097,0000109218,-,-
1098,0000263415,425,-
1099,0000103504,-,-
1100,0000270359,-,-
1101,0000107136,-,-
1102,0000175089,-,-
1103,0000103566,-,-
1104,0000214456,-,-
1105,0000103496,-,-
1106,0000334449,-,-
1107,0000161286,-,-
1108,0000109133,-,-
1109,0000107178,-,-
1110,0000252831,200,-
1111,0000108734,-,-
1112,0000259473,425,-
1113,0000108818,-,-
1114,0000100585,-,-
1115,0000107448,-,-
1116,0000100568,-,-
1117,0000107067,-,-
1118,0000107276,-,-
1119,0000136573,-,-
1120,0000178260,-,-
1121,0000100632,425,-
1122,0000108365,-,-
1123,0000115426,3900,-
1124,0000360515,-,-
1125,0000156179,100,-
1126,0000107737,-,-
1127,0000212421,100,-
1128,0000281138,-,-
1129,0000109066,-,-
1130,0000108774,-,-
1131,0000108562,-,-
1132,0000100548,-,-
1133,0000107765,-,-
1134,0000163083,-,-
1135,0000232998,-,-
1136,0000107811,-,-
1137,0000103559,-,-
1138,0000100650,200,-
1139,0000107746,-,-
1140,0000100622,-,-
1141,0000196245,100,-
1142,0000106888,-,-
1143,0000279891,-,-
1144,0000107779,-,-
1145,0000100669,1150,-
1146,0000100552,-,-
1147,0000165735,-,-
