"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
822,0000105935,6000,-,400,-
823,0000104882,-,-,-,-
824,0000104883,450,-,200,-
825,0000114684,-,-,-,-
826,0000105936,-,-,-,-
827,0000105937,-,-,-,-
828,0000113956,-,-,-,-
829,0000105938,-,-,-,-
830,0000104886,-,-,-,-
831,0000105939,900,-,400,-
832,0000211968,-,-,100,-
833,0000114688,-,-,-,-
834,0000287263,-,-,-,-
835,0000104887,-,-,-,-
836,0000104888,-,-,-,-
837,0000279087,-,-,-,-
838,0000214802,-,-,100,-
839,0000105941,-,-,-,-
840,0000152274,-,-,-,-
841,0000105942,-,-,-,-
842,0000105943,-,-,-,-
843,0000104890,450,-,200,-
844,0000114854,-,-,400,-
845,0000104891,-,-,-,-
846,0000105944,900,-,400,-
847,0000150819,-,-,-,-
848,0000104892,-,-,-,-
849,0000105945,900,-,400,-
850,0000104893,-,-,-,-
851,0000105946,-,-,-,-
852,0000105947,-,-,-,-
853,0000113966,-,-,-,-
854,0000104894,-,-,-,-
855,0000113967,-,-,-,-
856,0000105948,-,-,-,-
857,0000104895,-,-,-,-
858,0000114859,-,-,-,-
859,0000105949,1800,-,400,-
860,0000104896,-,-,-,-
861,0000113968,-,-,-,-
862,0000248960,-,-,-,-
863,0000104897,-,-,-,-
864,0000104898,-,-,-,-
865,0000196394,-,-,-,-
866,0000286387,-,-,-,-
867,0000286388,-,-,400,-
868,0000286389,900,-,400,-
869,0000334203,450,-,400,-
870,0000261141,-,-,200,-
871,0000332260,-,-,-,-
872,0000340442,-,-,-,-
873,0000105950,-,-,-,-
874,0000113970,-,-,-,-
875,0000105951,1800,-,400,-
876,0000114861,-,-,-,-
877,0000113971,-,-,-,-
878,0000105952,-,-,-,-
879,0000113972,1800,-,200,-
880,0000105953,-,-,-,-
881,0000162249,-,-,-,-
882,0000113973,-,-,100,-
883,0000211983,-,-,-,-
884,0000113974,450,-,200,-
885,0000114865,-,-,-,-
886,0000105956,-,-,-,-
887,0000113976,-,-,-,-
888,0000105957,-,-,100,-
889,0000286390,-,-,200,-
890,0000230698,-,-,-,-
891,0000105958,-,-,-,-
892,0000105959,-,-,-,-
893,0000266953,-,-,200,-
894,0000164036,-,-,-,-
895,0000163307,-,-,-,-
896,0000114870,-,-,-,-
897,0000105961,900,-,400,-
898,0000113980,-,-,-,-
899,0000234429,-,-,-,-
900,0000105963,-,-,-,-
901,0000113983,-,-,-,-
902,0000105965,-,-,-,-
903,0000115928,-,-,-,-
904,0000114875,-,-,-,-
905,0000105966,-,-,-,-
